Order_ID,Fecha,Categoria,Producto,Codigo_Producto,Canal,Region,Precio_Unitario,Costo_Unitario,Descuento,Cantidad,Ventas,Cliente_ID
ORD-29454,2024-11-08,Muebles,Escritorio Ejecutivo,PROD-155,Tienda Física,Centro,171.49,313.34,0.0,2,342.98,CLI-7782
ORD-48180,23/08/2024,Tecnología,Webcam HD,PROD-716,Tienda Física,Norte,347.76,488.86,0.2,2,695.51,CLI-1101
ORD-20731,2024-11-29,Tecnología,Teclado Mecánico,PROD-849,Distribuidor,Oeste,827.56,516.32,0.2,5,4137.8,CLI-7524
ORD-89747,04-07-2023,Oficina,Grapadora,PROD-724,Tienda Física,Este,42.42,75.0,0.05,3,127.26,CLI-2942
ORD-89717,09/07/2022,Muebles,Archivador Metálico,PROD-110,Distribuidor,Este,623.98,628.78,0.0,2,1247.96,CLI-2177
ORD-72431,2024-07-04,Muebles,Estantería,PROD-422,Tienda Física,Centro,612.76,659.58,0.05,4,-2451.04,CLI-8481
ORD-33866,22/03/2023,Oficina,Carpetas,PROD-620,Mayorista,Este,16.83,54.27,0.0,4,-67.33,CLI-6560
ORD-66673,2023-04-07,Tecnología,Teclado Mecánico,PROD-791,Online,Este,281.21,441.92,0.15,2,-562.42,CLI-4651
ORD-10932,2024-04-12,Tecnología,Monitor LG,PROD-360,Online,Centro,179.81,351.85,0.05,5,899.04,CLI-2101
ORD-82250,07-16-2022,Muebles,Escritorio Ejecutivo,PROD-358,Tienda Física,Sur,288.48,503.1,0.15,4,1153.9,CLI-2979
ORD-43684,2023-05-09,Oficina,Grapadora,PROD-949,Mayorista,Sur,18.78,24.3,0.2,4,75.12,CLI-8055
ORD-45025,09/05/2023,Tecnología,Webcam HD,PROD-374,Mayorista,Centro,649.8,895.34,0.1,1,649.8,CLI-6850
ORD-44518,20/04/2024,Muebles,Escritorio Ejecutivo,PROD-732,Distribuidor,Oeste,$497.06,581.36,0.0,2,994.12,CLI-9959
ORD-92639,02-12-2024,Muebles,Estantería,PROD-996,Mayorista,Sur,172.31,478.75,0.2,1,172.31,CLI-7554
ORD-40167,2022-11-10,Oficina,Calculadora,PROD-222,Online,Centro,3.68,15.72,0.2,3,11.03,CLI-3754
ORD-87988,2024-07-05,Oficina,Calculadora,PROD-111,Mayorista,Este,53.58,36.42,0.2,4,214.3,CLI-7612
ORD-93281,2024-07-04,Muebles,Escritorio Ejecutivo,PROD-528,Distribuidor,Centro,234.26,284.15,0.1,3,702.79,CLI-5917
ORD-19652,2022-02-15,Muebles,Silla Ergonómica,PROD-552,Online,Sur,209.8,683.29,0.0,1,209.8,CLI-1059
ORD-46218,28/08/2022,Tecnología,Mouse Logitech,PROD-141,Online,Norte,146.69,270.21,0.0,3,440.08,CLI-7901
ORD-38739,2024-05-14,Muebles,Mesa Reuniones,PROD-416,Mayorista,Centro,537.85,641.93,0.1,5,2689.26,CLI-9387
ORD-50434,16/03/2023,Oficina,Bolígrafos,PROD-719,Tienda Física,Centro,$59.18,94.01,0.05,1,59.18,CLI-9418
ORD-81867,26/08/2023,Oficina,Bolígrafos,PROD-697,Mayorista,Este,44.84,69.48,0.0,1,44.84,CLI-5210
ORD-28887,23/04/2024,Tecnología,Monitor LG,PROD-903,Distribuidor,Este,749.07,950.74,0.05,3,2247.21,CLI-1653
ORD-50980,06-11-2023,Muebles,Mesa Reuniones,PROD-388,Online,Este,$207.33,260.76,0.15,2,414.66,CLI-1123
ORD-16380,2022-10-30,Muebles,Silla Ergonómica,PROD-276,Mayorista,Oeste,$112.44,282.84,0.05,4,449.74,CLI-7001
ORD-29844,2024-07-09,Muebles,Estantería,PROD-227,Tienda Física,Centro,95.62,178.36,0.2,3,286.86,CLI-7449
ORD-15835,04/02/2022,Tecnología,Mouse Logitech,PROD-580,Online,Centro,$198.34,468.55,0.1,2,396.67,CLI-8758
ORD-16613,2024-02-22,Muebles,Mesa Reuniones,PROD-163,Online,Oeste,162.68,260.27,0.2,2,325.35,CLI-5267
ORD-55394,2022-09-08,Muebles,Estantería,PROD-236,Distribuidor,Este,607.22,559.48,0.0,3,1821.67,CLI-2062
ORD-73525,27/03/2022,Oficina,Bolígrafos,PROD-329,Online,Sur,9.56,25.33,0.0,3,28.68,CLI-7012
ORD-87905,2023-06-03,Oficina,Papel A4,PROD-512,Tienda Física,Centro,9.07,7.57,0.0,3,27.22,CLI-3823
ORD-75493,12/01/2022,Oficina,Calculadora,PROD-389,Tienda Física,Norte,11.28,38.09,0.15,2,22.55,CLI-8843
ORD-67163,2023-04-13,Oficina,Carpetas,PROD-787,Mayorista,Este,16.87,48.05,0.0,1,16.87,CLI-5797
ORD-69421,23/11/2022,Muebles,Estantería,PROD-881,Tienda Física,Norte,177.96,586.4,0.05,4,711.82,CLI-7326
ORD-20266,2024-02-19,Tecnología,Laptop Dell,PROD-600,Distribuidor,Este,105.73,548.74,0.15,5,528.66,CLI-9876
ORD-27240,2023-02-07,Oficina,Calculadora,PROD-453,Online,Este,9.66,26.66,0.2,2,19.33,CLI-3017
ORD-91111,2023-06-03,Tecnología,Mouse Logitech,PROD-982,Distribuidor,Norte,$657.56,543.13,0.15,2,1315.11,CLI-9202
ORD-51876,26/01/2022,Muebles,Estantería,PROD-830,Online,Este,$525.45,508.76,0.15,1,525.45,CLI-6202
ORD-42205,2022-01-14,Oficina,Papel A4,PROD-426,Tienda Física,Sur,9.9,28.56,0.2,1,9.9,CLI-9202
ORD-13639,2024-12-16,Muebles,Silla Ergonómica,PROD-489,Mayorista,Centro,$558.10,478.05,0.0,1,558.1,CLI-4097
ORD-23848,02/07/2024,Tecnología,Teclado Mecánico,PROD-310,Online,Centro,488.58,793.07,0.2,4,1954.34,CLI-7449
ORD-41056,09-11-2024,Oficina,Papel A4,PROD-612,Mayorista,Este,33.5,52.31,0.0,4,134.0,CLI-4056
ORD-89870,12-17-2024,Oficina,Papel A4,PROD-796,Online,Este,7.84,18.96,,4,31.38,CLI-1426
ORD-63946,2024-04-08,Oficina,Carpetas,PROD-780,Online,Este,24.18,71.71,0.2,1,-24.18,
ORD-98171,2022-08-27,Oficina,Calculadora,PROD-854,Online,Norte,31.7,78.69,,3,95.11,CLI-8702
ORD-13550,2022-04-23,Oficina,Bolígrafos,PROD-971,Tienda Física,Norte,$24.03,31.29,0.05,3,72.1,CLI-2954
ORD-49069,2023-07-30,Muebles,Estantería,PROD-591,Distribuidor,Este,325.24,543.89,0.1,1,325.24,CLI-7852
ORD-59016,2024-08-23,Oficina,Grapadora,PROD-791,Online,Sur,7.88,10.89,0.2,4,31.52,CLI-8770
ORD-17212,20/12/2022,Tecnología,Monitor LG,PROD-852,Online,Oeste,313.26,517.56,0.0,5,1566.31,CLI-8937
ORD-14497,02-13-2023,Tecnología,Webcam HD,PROD-903,Tienda Física,Centro,$384.43,781.89,0.1,1,384.43,CLI-6002
ORD-54217,07/05/2023,Oficina,Papel A4,PROD-128,Mayorista,Norte,58.17,68.76,0.1,1,58.17,CLI-2228
ORD-38119,02/03/2022,Tecnología,Mouse Logitech,PROD-649,Online,Sur,$202.15,680.15,0.15,5,1010.77,CLI-6187
ORD-77531,19/12/2022,Oficina,Carpetas,PROD-890,Tienda Física,Norte,14.35,26.29,0.05,5,71.74,CLI-8009
ORD-59116,2023-05-07,Oficina,Papel A4,PROD-184,Mayorista,Oeste,21.2,25.04,0.2,2,42.4,CLI-3017
ORD-72969,2024-09-20,Muebles,Estantería,PROD-380,Mayorista,Este,600.29,428.45,0.15,2,1200.58,CLI-1123
ORD-83594,2023-12-22,Muebles,Mesa Reuniones,PROD-934,Distribuidor,Norte,"$1,201.74",587.93,,2,2403.49,CLI-9537
ORD-15018,2023-12-13,Tecnología,Teclado Mecánico,PROD-947,Online,Este,291.31,740.2,0.2,3,873.92,CLI-8860
ORD-11158,2023-01-19,Tecnología,Laptop Dell,PROD-763,Online,Este,$141.99,407.33,0.05,1,141.99,CLI-4305
ORD-81856,04-18-2022,Oficina,Bolígrafos,PROD-247,Distribuidor,Este,98.1,79.17,0.1,2,196.2,CLI-2456
ORD-24222,2023-04-15,Muebles,Mesa Reuniones,PROD-430,Mayorista,Centro,$398.25,559.88,0.2,3,1194.75,CLI-8722
ORD-90813,2022-10-28,Oficina,Papel A4,PROD-476,Distribuidor,Oeste,22.26,67.13,0.0,3,66.79,CLI-8445
ORD-22756,2024-06-04,Muebles,Mesa Reuniones,PROD-502,Distribuidor,Sur,466.67,384.93,0.05,2,933.34,CLI-1151
ORD-24058,2022-07-24,Tecnología,Teclado Mecánico,PROD-688,Tienda Física,Sur,678.19,977.54,0.0,5,3390.94,CLI-7506
ORD-87978,2023-06-04,Tecnología,Mouse Logitech,PROD-920,Distribuidor,Norte,269.48,532.26,0.1,1,269.48,CLI-8939
ORD-60903,2024-08-18,Tecnología,Teclado Mecánico,PROD-362,Tienda Física,Este,394.94,818.06,0.1,5,1974.69,CLI-7554
ORD-26252,05-01-2023,Muebles,Archivador Metálico,PROD-885,Online,Norte,169.16,321.72,0.0,1,169.16,CLI-5158
ORD-86020,2023-11-14,Muebles,Escritorio Ejecutivo,PROD-493,Distribuidor,Centro,$177.24,506.86,0.1,3,531.71,CLI-3315
ORD-36877,2022-07-19,Tecnología,Teclado Mecánico,PROD-971,Online,Sur,967.52,668.33,0.2,5,4837.6,CLI-8005
ORD-91387,02-07-2022,Oficina,Carpetas,PROD-518,Distribuidor,Norte,10.88,35.02,0.1,2,21.77,CLI-7996
ORD-19806,09/12/2023,Oficina,Papel A4,PROD-697,Online,Norte,21.82,49.39,0.1,2,43.63,CLI-4934
ORD-74950,2024-03-14,Tecnología,Teclado Mecánico,PROD-673,Tienda Física,Oeste,424.52,504.33,0.15,2,849.03,CLI-9641
ORD-88941,2022-03-18,Oficina,Papel A4,PROD-643,Mayorista,Oeste,30.33,56.16,0.05,5,151.64,CLI-1579
ORD-40779,2023-08-19,Tecnología,Monitor LG,PROD-548,Distribuidor,Oeste,797.5,631.82,0.15,4,3190.0,CLI-9436
ORD-93479,2024-11-07,Oficina,Papel A4,PROD-612,Mayorista,Norte,$12.82,34.84,0.1,5,64.12,CLI-2258
ORD-18686,02-20-2023,Oficina,Carpetas,PROD-458,Online,Oeste,32.07,47.48,0.1,5,160.33,CLI-7326
ORD-70691,2024-11-13,Muebles,Archivador Metálico,PROD-840,Tienda Física,Centro,$144.52,394.2,0.15,5,722.62,CLI-1056
ORD-22493,19/05/2022,Muebles,Estantería,PROD-459,Mayorista,Norte,374.73,668.55,0.0,5,1873.64,CLI-8497
ORD-66341,2024-10-05,Muebles,Silla Ergonómica,PROD-811,Mayorista,Oeste,408.6,382.8,,4,1634.38,CLI-2413
ORD-86582,2024-04-26,Oficina,Papel A4,PROD-805,Online,Oeste,74.33,85.09,0.05,3,222.99,CLI-1136
ORD-62786,2023-02-27,Oficina,Carpetas,PROD-773,Online,Norte,$20.96,70.39,0.15,5,104.8,CLI-1101
ORD-25129,2022-09-30,Oficina,Grapadora,PROD-300,Mayorista,Oeste,$24.02,43.33,0.0,4,96.1,CLI-8688
ORD-19808,04-15-2023,Tecnología,Mouse Logitech,PROD-346,Mayorista,Norte,677.13,835.13,0.05,3,2031.38,
ORD-69025,2023-10-06,Muebles,Mesa Reuniones,PROD-783,Tienda Física,Este,$267.86,613.2,0.15,1,267.86,CLI-2745
ORD-76467,23/08/2023,Tecnología,Monitor LG,PROD-725,Distribuidor,Oeste,563.78,582.21,0.0,3,1691.35,CLI-9657
ORD-33514,2024-08-09,Tecnología,Mouse Logitech,PROD-123,Distribuidor,Norte,255.82,285.58,0.2,5,1279.09,CLI-3176
ORD-54239,2024-02-25,Oficina,Carpetas,PROD-830,Mayorista,Centro,9.7,9.54,0.05,1,9.7,CLI-9079
ORD-17358,2022-11-06,Oficina,Grapadora,PROD-512,Mayorista,Norte,20.91,37.25,0.2,5,104.57,CLI-8947
ORD-92857,2022-04-05,Muebles,Silla Ergonómica,PROD-456,Mayorista,Sur,92.82,214.64,,1,92.82,CLI-7901
ORD-80641,2024-02-26,Muebles,Silla Ergonómica,PROD-715,Mayorista,Sur,50.42,162.52,0.2,2,-100.84,CLI-3747
ORD-92406,2023-10-08,Tecnología,Teclado Mecánico,PROD-421,Mayorista,Norte,425.4,796.8,0.05,1,425.4,CLI-1653
ORD-96397,03-28-2022,Oficina,Grapadora,PROD-310,Mayorista,Sur,72.68,92.31,0.05,2,145.35,CLI-1300
ORD-98501,06/03/2022,Tecnología,Mouse Logitech,PROD-942,Distribuidor,Centro,184.17,134.19,0.2,3,552.5,CLI-3617
ORD-87467,2024-12-16,Tecnología,Webcam HD,PROD-435,Tienda Física,Norte,188.04,183.76,0.1,3,564.13,CLI-2829
ORD-85007,05-31-2023,Oficina,Papel A4,PROD-459,Mayorista,Norte,$43.29,82.62,0.0,5,216.46,CLI-7636
ORD-16828,2023-09-14,Oficina,Grapadora,PROD-427,Mayorista,Este,17.36,18.06,0.0,1,17.36,CLI-7840
ORD-78655,2022-05-21,Muebles,Archivador Metálico,PROD-195,Online,Norte,487.42,486.44,0.1,2,974.83,CLI-4527
ORD-27945,2023-10-25,Oficina,Carpetas,PROD-161,Mayorista,Oeste,17.83,50.15,0.15,4,71.32,CLI-2942
ORD-47722,05/06/2024,Tecnología,Teclado Mecánico,PROD-651,Distribuidor,Este,108.64,249.81,0.1,3,325.91,CLI-4787
ORD-97525,2022-12-10,Oficina,Bolígrafos,PROD-947,Tienda Física,Centro,15.83,38.28,0.1,3,47.5,CLI-8009
ORD-30141,2024-05-07,Oficina,Grapadora,PROD-999,Tienda Física,Este,26.92,47.73,0.1,2,53.84,CLI-9688
ORD-92795,04-12-2024,Oficina,Calculadora,PROD-911,Tienda Física,Norte,11.5,22.99,0.2,1,11.5,CLI-5077
ORD-16286,2023-03-20,Muebles,Estantería,PROD-668,Online,Oeste,460.78,398.33,0.2,1,460.78,CLI-4344
ORD-99812,11-28-2024,Muebles,Archivador Metálico,PROD-426,Online,Sur,$587.42,567.55,0.15,4,2349.68,CLI-9290
ORD-24235,10-09-2023,Oficina,Grapadora,PROD-473,Distribuidor,Norte,18.73,65.05,0.1,3,56.19,CLI-9088
ORD-11175,12/01/2024,Oficina,Carpetas,PROD-624,Distribuidor,Este,13.23,48.14,0.05,2,26.46,CLI-9387
ORD-60640,2023-02-27,Muebles,Archivador Metálico,PROD-752,Mayorista,Sur,72.12,210.11,0.0,1,72.12,CLI-1090
ORD-20019,04/11/2024,Oficina,Carpetas,PROD-167,Distribuidor,Oeste,$44.38,69.03,0.05,3,133.15,CLI-7449
ORD-55922,02/11/2022,Oficina,Grapadora,PROD-113,Mayorista,Sur,22.76,76.44,0.1,1,22.76,CLI-2969
ORD-57733,2023-03-15,Muebles,Silla Ergonómica,PROD-974,Tienda Física,Sur,$215.16,535.56,0.1,1,215.16,CLI-5017
ORD-88664,03-06-2024,Muebles,Escritorio Ejecutivo,PROD-460,Tienda Física,Norte,$265.25,658.2,0.1,3,795.74,CLI-2533
ORD-18733,2023-10-08,Tecnología,Teclado Mecánico,PROD-783,Online,Este,153.7,284.58,0.05,2,307.4,CLI-9416
ORD-37682,08/07/2023,Oficina,Carpetas,PROD-741,Distribuidor,Norte,103.44,47.42,0.15,3,310.33,CLI-7776
ORD-76233,2023-07-09,Muebles,Estantería,PROD-554,Distribuidor,Este,1057.26,556.13,0.1,3,3171.78,CLI-7948
ORD-99996,05-10-2024,Oficina,Carpetas,PROD-968,Distribuidor,Este,48.69,55.46,0.2,1,48.69,CLI-3967
ORD-89870,2024-12-17,Oficina,Papel A4,PROD-796,Online,Este,7.84,18.96,0.0,4,31.38,CLI-1426
ORD-34172,29/11/2024,Oficina,Papel A4,PROD-662,Online,Este,72.48,48.35,0.05,2,144.96,CLI-6187
ORD-37620,2023-10-17,Muebles,Estantería,PROD-971,Distribuidor,Sur,136.75,415.19,0.2,1,136.75,CLI-8497
ORD-42117,2024-08-02,Oficina,Papel A4,PROD-169,Distribuidor,Norte,31.51,38.68,0.1,3,94.52,CLI-8233
ORD-91861,2024-02-06,Tecnología,Laptop Dell,PROD-997,Distribuidor,Este,343.44,746.04,0.15,2,686.87,CLI-2533
ORD-57357,05/09/2023,Tecnología,Teclado Mecánico,PROD-430,Tienda Física,Sur,$246.85,745.73,0.05,2,493.7,CLI-7782
ORD-12990,2022-06-17,Tecnología,Webcam HD,PROD-569,Tienda Física,Centro,582.24,615.62,0.0,2,1164.49,CLI-5050
ORD-76992,2022-12-19,Muebles,Archivador Metálico,PROD-644,Mayorista,Norte,$334.75,680.42,0.15,5,1673.77,CLI-1094
ORD-82480,08-21-2023,Muebles,Mesa Reuniones,PROD-736,Online,Sur,242.91,316.95,0.05,5,1214.56,
ORD-34589,20/04/2022,Oficina,Grapadora,PROD-532,Tienda Física,Este,$21.02,67.93,0.1,4,84.06,CLI-9079
ORD-16313,02/12/2023,Muebles,Escritorio Ejecutivo,PROD-501,Distribuidor,Este,$115.94,393.91,0.15,2,231.89,CLI-2886
ORD-89914,16/09/2022,Tecnología,Monitor LG,PROD-137,Distribuidor,Este,85.2,152.27,0.0,2,170.41,CLI-7776
ORD-22400,2023-11-01,Oficina,Calculadora,PROD-487,Tienda Física,Centro,14.13,40.65,0.15,1,14.13,CLI-6202
ORD-79375,18/03/2022,Oficina,Bolígrafos,PROD-875,Online,Centro,40.62,75.88,0.1,4,162.5,CLI-2979
ORD-53436,17/12/2024,Tecnología,Teclado Mecánico,PROD-760,Tienda Física,Este,$222.30,525.37,0.1,5,1111.52,CLI-9183
ORD-48972,2023-01-03,Tecnología,Teclado Mecánico,PROD-278,Tienda Física,Este,323.72,289.89,0.05,4,1294.89,CLI-8406
ORD-31699,23/09/2023,Tecnología,Laptop Dell,PROD-582,Distribuidor,Centro,327.88,741.32,0.1,3,983.65,CLI-2442
ORD-65421,23/02/2024,Muebles,Escritorio Ejecutivo,PROD-419,Mayorista,Oeste,114.59,261.26,0.15,5,572.95,CLI-1123
ORD-59930,2024-06-20,Muebles,Escritorio Ejecutivo,PROD-871,Mayorista,Este,221.56,478.33,0.15,3,664.69,CLI-8869
ORD-14208,2022-10-05,Oficina,Papel A4,PROD-803,Online,Oeste,$44.89,98.84,0.0,5,224.45,CLI-7533
ORD-60388,14/03/2023,Tecnología,Laptop Dell,PROD-337,Tienda Física,Sur,211.72,561.58,0.2,1,211.72,CLI-1653
ORD-22660,2022-12-24,Muebles,Estantería,PROD-808,Tienda Física,Oeste,$181.57,301.86,0.2,2,363.14,CLI-9801
ORD-64685,02-13-2024,Muebles,Archivador Metálico,PROD-554,Mayorista,Oeste,$112.75,275.78,0.05,5,563.77,
ORD-26382,08/11/2024,Muebles,Escritorio Ejecutivo,PROD-351,Distribuidor,Centro,$380.06,701.49,0.1,5,1900.3,CLI-6800
ORD-96002,12-24-2022,Tecnología,Webcam HD,PROD-598,Mayorista,Centro,364.12,626.16,0.05,1,364.12,CLI-3410
ORD-45848,09-22-2024,Tecnología,Mouse Logitech,PROD-286,Tienda Física,Oeste,512.73,676.28,0.0,5,2563.65,CLI-1151
ORD-80268,25/08/2022,Oficina,Calculadora,PROD-540,Mayorista,Sur,$63.12,57.51,0.0,1,63.12,CLI-8798
ORD-81306,05-31-2022,Muebles,Escritorio Ejecutivo,PROD-309,Online,Centro,$258.98,661.92,0.1,1,258.98,CLI-2607
ORD-36548,2022-01-18,Oficina,Papel A4,PROD-397,Online,Norte,6.02,25.37,0.05,4,24.08,CLI-6944
ORD-89251,2023-03-24,Muebles,Estantería,PROD-914,Mayorista,Oeste,$175.42,370.31,,4,701.67,CLI-6546
ORD-97410,20/03/2023,Oficina,Bolígrafos,PROD-944,Mayorista,Norte,51.48,43.65,0.0,3,154.45,CLI-4206
ORD-47969,11-02-2024,Muebles,Escritorio Ejecutivo,PROD-784,Online,Oeste,$398.13,560.68,0.2,1,398.13,CLI-3533
ORD-92797,20/04/2023,Muebles,Silla Ergonómica,PROD-661,Distribuidor,Centro,145.51,252.01,0.1,1,145.51,CLI-2419
ORD-79817,2023-09-25,Tecnología,Webcam HD,PROD-412,Distribuidor,Oeste,278.78,764.5,0.15,4,1115.12,CLI-6304
ORD-44083,2023-05-19,Muebles,Mesa Reuniones,PROD-260,Online,Este,$674.22,568.39,0.05,3,2022.66,CLI-2634
ORD-39578,06-26-2022,Oficina,Carpetas,PROD-133,Mayorista,Centro,43.1,64.78,0.05,1,43.1,CLI-5267
ORD-14226,14/11/2022,Tecnología,Laptop Dell,PROD-715,Mayorista,Centro,197.28,875.74,0.1,1,197.28,CLI-9048
ORD-29817,11/07/2024,Muebles,Escritorio Ejecutivo,PROD-433,Tienda Física,Norte,$588.69,559.82,0.2,2,1177.38,CLI-4056
ORD-90960,07/06/2022,Tecnología,Monitor LG,PROD-535,Mayorista,Este,487.64,763.51,0.2,4,1950.54,CLI-7008
ORD-29677,2024-10-20,Oficina,Carpetas,PROD-750,Tienda Física,Norte,16.17,34.83,0.0,2,32.34,CLI-1352
ORD-44525,2023-10-27,Tecnología,Mouse Logitech,PROD-241,Online,Centro,249.48,352.49,0.15,3,748.45,CLI-3170
ORD-41579,10/05/2022,Tecnología,Monitor LG,PROD-792,Mayorista,Norte,$494.63,656.96,0.0,2,989.26,CLI-1158
ORD-10786,07/09/2023,Oficina,Calculadora,PROD-247,Online,Este,25.04,70.92,0.15,2,50.09,CLI-9250
ORD-41681,2024-05-16,Muebles,Estantería,PROD-183,Mayorista,Oeste,$189.22,382.4,0.2,1,189.22,CLI-4531
ORD-57345,2023-09-22,Muebles,Mesa Reuniones,PROD-816,Mayorista,Centro,$143.39,374.76,0.15,5,716.94,CLI-2798
ORD-59912,2023-01-04,Oficina,Papel A4,PROD-679,Mayorista,Oeste,20.14,27.78,0.2,3,60.41,CLI-2942
ORD-84179,2023-07-22,Oficina,Grapadora,PROD-487,Mayorista,Este,46.49,59.81,0.05,3,139.46,CLI-8345
ORD-22909,11-11-2024,Oficina,Carpetas,PROD-917,Online,Sur,$20.45,61.58,,5,102.25,CLI-5299
ORD-14673,2024-10-25,Muebles,Silla Ergonómica,PROD-330,Mayorista,Este,$532.67,599.82,0.1,5,2663.34,CLI-1127
ORD-25675,2022-03-30,Muebles,Mesa Reuniones,PROD-589,Mayorista,Este,192.0,615.79,0.1,3,576.0,CLI-6916
ORD-39089,2022-05-18,Tecnología,Monitor LG,PROD-295,Online,Este,132.47,541.65,0.0,5,662.36,CLI-9358
ORD-28908,2023-04-12,Oficina,Papel A4,PROD-504,Online,Oeste,$16.35,17.98,0.1,1,16.35,CLI-5999
ORD-66270,25/05/2022,Muebles,Mesa Reuniones,PROD-569,Mayorista,Centro,$75.16,207.88,0.2,1,75.16,CLI-5204
ORD-37037,2024-01-01,Muebles,Escritorio Ejecutivo,PROD-449,Mayorista,Este,192.21,540.28,0.05,1,192.21,CLI-1628
ORD-75159,2024-02-06,Oficina,Calculadora,PROD-457,Tienda Física,Sur,20.14,51.41,0.2,1,20.14,CLI-4366
ORD-86094,17/11/2024,Oficina,Papel A4,PROD-533,Distribuidor,Oeste,28.49,88.34,0.2,2,56.98,CLI-3865
ORD-12519,22/11/2023,Muebles,Archivador Metálico,PROD-638,Distribuidor,Oeste,183.0,670.55,0.1,4,731.99,CLI-2413
ORD-17728,04/11/2023,Muebles,Escritorio Ejecutivo,PROD-247,Tienda Física,Centro,$137.61,349.53,0.2,1,137.61,CLI-1719
ORD-93154,27/11/2022,Oficina,Grapadora,PROD-252,Mayorista,Este,$17.34,38.35,0.05,3,52.01,CLI-9416
ORD-35087,2022-02-15,Oficina,Carpetas,PROD-558,Distribuidor,Sur,20.09,67.82,0.1,1,20.09,CLI-2225
